Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2024-08-01,01,3,3,3,3,2,3,2,3,2,2*,3,3,3,2,2,3,2,3
,02,3,3,3,3,2,3,2,3,2,2*,3,2,3,2,2,3,3,2
,03,3,3,3,3,2,3,2,3,2,2*,3,2,2,2,2,3,2,2
,04,3,3,3,3,2,3,2,2,2,2*,3,2,2,2,2,2,2,2
,05,2,3,3,2*,2,2*,2,2,2,2*,3,2,2*,2,2,2,2,2
,06,2,3,3,2*,2,2*,2,2,2,2*,3,2,2*,2,2,2,2,2
,07,2,2,3,2,2,2,2,2,2,2*,3,2,2,2,2,2,2,2
,08,2,2,3,2,2,2,2,2,2,2*,3,2,2,2,2,2,2,2
,09,2,2,3,2,2,3,2,2,2,2*,3,2,2,2,2,2,2,2
,10,2,3,3,2,2,3,2,2,2,2*,3,2,2,2,2,3,2,2
,11,3,3,3,3,2,3,2,3,2,2*,3,2,3,2,2,3,2,3
,12,3,3,3,3,3*,3,3,3,2,2*,3,2,3,2,2,3,2,3
,13,3,3,3,3,3*,3,3,3,2,2*,3,2,3,3,3,3,2,3
,14,3,3,3,3,3*,3,3,3,2,3*,3,2,3,3,3,3,2,3
,15,3,3,3,3,3*,3,3,3,3,3*,3,3,3,3,3,3,2,3
,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
,18,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3
,19,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3
,20,3,3,3,3,3,3,2,3,2,3,3,2,3,2,2,3,2,3
,21,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,3,2,3
,22,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,3,2,3
,23,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,3,2,3
,24,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,3
,Daily Max,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024-08-02,01,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
