name,latitude,longitude
"Islands",22.26114,113.94608
"Kwai Tsing",22.35488,114.08401
"North",22.49471,114.13812
"Sai Kung",22.38143,114.27052
"Sha Tin",22.38715,114.19534
"Tai Po",22.45085,114.16422
"Tsuen Wan",22.36281,114.12907
"Tuen Mun",22.39163,113.977089
"Yuen Long",22.44559,114.02218
"Kowloon City",22.3282,114.19155
"Kwun Tong",22.31326,114.22581
"Sham Shui Po",22.33074,114.1622
"Wong Tai Sin",22.33353,114.19686
"Yau Tsim Mong",22.32138,114.1726
"Central and Western",22.28666,114.15497
"Eastern",22.28411,114.22414
"Southern",22.24725,114.15884
"Wan Chai",22.27968,114.17168
